Day,FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
03-23-2020,,,,Greece,2020-03-23 23:19:21,39.0742,21.8243,695,17,29,649,Greece
03-23-2020,,,,Grenada,2020-03-23 23:19:21,12.1165,-61.678999999999995,1,0,0,1,Grenada
03-23-2020,,,,Guatemala,2020-03-23 23:19:21,15.7835,-90.2308,20,1,0,19,Guatemala
03-23-2020,,,,Guinea,2020-03-23 23:19:21,9.9456,-9.6966,4,0,0,4,Guinea
03-23-2020,,,,Guyana,2020-03-23 23:19:21,4.860416000000002,-58.93018000000001,20,1,0,19,Guyana
03-23-2020,,,,Haiti,2020-03-23 23:19:21,18.9712,-72.2852,6,0,0,6,Haiti
03-23-2020,,,,Holy See,2020-03-23 23:19:21,41.9029,12.4534,1,0,0,1,Holy See
03-23-2020,,,,Honduras,2020-03-23 23:19:21,15.2,-86.2419,27,0,0,27,Honduras
03-23-2020,,,,Hungary,2020-03-23 23:19:21,47.1625,19.5033,167,7,16,144,Hungary
03-23-2020,,,,Iceland,2020-03-23 23:19:21,64.9631,-19.0208,588,1,51,536,Iceland
03-23-2020,,,,India,2020-03-23 23:19:21,20.593684,78.96288,499,10,34,455,India
03-23-2020,,,,Indonesia,2020-03-23 23:19:21,-0.7893,113.9213,579,49,30,500,Indonesia
03-23-2020,,,,Iran,2020-03-23 23:19:21,32.427908,53.68804599999999,23049,1812,8376,12861,Iran
03-23-2020,,,,Iraq,2020-03-23 23:19:21,33.223191,43.679291,266,23,62,181,Iraq
03-23-2020,,,,Ireland,2020-03-23 23:19:21,53.1424,-7.6921,1125,6,5,1114,Ireland
03-23-2020,,,,Israel,2020-03-23 23:19:21,31.046051000000002,34.851612,1442,1,41,1400,Israel
03-23-2020,,,,Italy,2020-03-23 23:19:21,41.87194,12.56738,63927,6077,7432,50418,Italy
03-23-2020,,,,Jamaica,2020-03-23 23:19:21,18.1096,-77.2975,19,1,2,16,Jamaica
03-23-2020,,,,Japan,2020-03-23 23:19:21,36.204824,138.252924,1128,42,235,851,Japan
03-23-2020,,,,Jordan,2020-03-23 23:19:21,31.24,36.51,127,0,1,126,Jordan
03-23-2020,,,,Kazakhstan,2020-03-23 23:19:21,48.0196,66.9237,62,0,0,62,Kazakhstan
03-23-2020,,,,Kenya,2020-03-23 23:19:21,-0.0236,37.9062,16,0,0,16,Kenya
