FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key
,,Yukon,Canada,2020-04-01 22:04:44,64.2823,-135.0,5,0,0,0,",Yukon,Canada"
,,Yunnan,China,2020-03-31 23:31:54,24.974,101.48700000000001,182,2,172,8,"Yunnan, China"
,,Zhejiang,China,2020-03-31 01:23:49,29.1832,120.0934,1257,1,1226,30,"Zhejiang, China"
,,,Afghanistan,2020-04-01 21:58:34,33.93911,67.709953,237,4,5,228,Afghanistan
,,,Albania,2020-04-01 21:58:34,41.1533,20.1683,259,15,67,177,Albania
,,,Algeria,2020-04-01 21:58:34,28.0339,1.6596,847,58,61,728,Algeria
,,,Andorra,2020-04-01 21:58:34,42.5063,1.5218,390,14,10,366,Andorra
,,,Angola,2020-04-01 21:58:34,-11.2027,17.8739,8,2,1,5,Angola
,,,Antigua and Barbuda,2020-04-01 21:58:34,17.0608,-61.7964,7,0,0,7,Antigua and Barbuda
,,,Argentina,2020-04-01 21:58:34,-38.4161,-63.6167,1054,28,248,778,Argentina
,,,Armenia,2020-04-01 21:58:34,40.0691,45.0382,571,4,31,536,Armenia
,,,Austria,2020-04-01 21:58:34,47.5162,14.5501,10711,146,1436,9129,Austria
,,,Azerbaijan,2020-04-01 21:58:34,40.1431,47.5769,359,5,26,328,Azerbaijan
,,,Bahamas,2020-04-01 21:58:34,25.025885,-78.035889,21,1,1,19,Bahamas
,,,Bahrain,2020-04-01 21:58:34,26.0275,50.55,569,4,337,228,Bahrain
,,,Bangladesh,2020-04-01 21:58:34,23.685,90.3563,54,6,25,23,Bangladesh
,,,Barbados,2020-04-01 21:58:34,13.1939,-59.5432,34,0,0,34,Barbados
,,,Belarus,2020-04-01 21:58:34,53.7098,27.9534,163,2,53,108,Belarus
,,,Belgium,2020-04-01 21:58:34,50.8333,4.469936,13964,828,2132,11004,Belgium
,,,Belize,2020-04-01 21:58:34,17.1899,-88.4976,3,0,0,3,",,Belize"
,,,Benin,2020-04-01 21:58:34,9.3077,2.3158,13,0,1,12,Benin
,,,Bhutan,2020-04-01 21:58:34,27.5142,90.4336,4,0,0,4,Bhutan
,,,Bolivia,2020-04-01 21:58:34,-16.2902,-63.5887,115,7,1,107,Bolivia
,,,Bosnia and Herzegovina,2020-04-01 21:58:34,43.9159,17.6791,459,13,19,427,Bosnia and Herzegovina
,,,Botswana,2020-04-01 21:58:34,-22.3285,24.6849,4,1,0,3,Botswana
,,,Brazil,2020-04-01 21:58:34,-14.235,-51.9253,6836,240,127,6469,Brazil
,,,Brunei,2020-04-01 21:58:34,4.5353,114.7277,131,1,52,78,Brunei
,,,Bulgaria,2020-04-01 21:58:34,42.7339,25.4858,422,10,20,392,Bulgaria
,,,Burkina Faso,2020-04-01 21:58:34,12.2383,-1.5616,282,16,46,220,Burkina Faso
,,,Burma,2020-04-01 21:58:34,21.9162,95.956,15,1,0,14,Burma
,,,Burundi,2020-04-01 21:58:34,-3.3731,29.9189,2,0,0,2,Burundi
,,,Cabo Verde,2020-04-01 21:58:34,16.5388,-23.0418,6,1,0,5,Cabo Verde
,,,Cambodia,2020-04-01 21:58:34,11.55,104.9167,109,0,25,84,Cambodia
,,,Cameroon,2020-04-01 21:58:34,3.8480000000000003,11.5021,233,6,10,217,Cameroon
,,,Central African Republic,2020-04-01 21:58:34,6.6111,20.9394,3,0,0,3,Central African Republic
,,,Chad,2020-04-01 21:58:34,15.4542,18.7322,7,0,0,7,Chad
,,,Chile,2020-04-01 21:58:34,-35.6751,-71.543,3031,16,234,2781,Chile
,,,Colombia,2020-04-01 21:58:34,4.5709,-74.2973,1065,17,39,1009,Colombia
,,,Congo (Brazzaville),2020-04-01 21:58:34,-4.2634,15.2832,19,0,0,19,Congo (Brazzaville)
,,,Congo (Kinshasa),2020-04-01 21:58:34,-4.322447,15.307045,109,9,3,97,Congo (Kinshasa)
,,,Costa Rica,2020-04-01 21:58:34,9.7489,-83.7534,375,2,4,369,Costa Rica
,,,Cote d'Ivoire,2020-04-01 21:58:34,7.54,-5.5471,190,1,9,180,Cote d'Ivoire
,,,Croatia,2020-04-01 21:58:34,45.1,15.2,963,6,73,884,Croatia
,,,Cuba,2020-04-01 21:58:34,21.521757,-77.78116700000002,212,6,12,194,Cuba
,,,Cyprus,2020-04-01 21:58:34,35.1264,33.4299,320,9,28,283,Cyprus
,,,Czechia,2020-04-01 21:58:34,49.8175,15.472999999999999,3508,39,61,3408,Czechia
,,,Denmark,2020-04-01 21:58:34,56.2639,9.5018,3107,104,894,2109,Denmark
,,,Diamond Princess,2020-04-01 21:58:34,0.0,0.0,712,11,603,98,Diamond Princess
,,,Djibouti,2020-04-01 21:58:34,11.8251,42.5903,33,0,0,33,Djibouti
,,,Dominica,2020-04-01 21:58:34,15.415,-61.371,12,0,0,12,Dominica
,,,Dominican Republic,2020-04-01 21:58:34,18.7357,-70.1627,1284,57,9,1218,Dominican Republic
,,,Ecuador,2020-04-01 21:58:34,-1.8312,-78.1834,2748,93,58,2597,Ecuador
,,,Egypt,2020-04-01 21:58:34,26.820553000000004,30.802497999999996,779,52,179,548,Egypt
,,,El Salvador,2020-04-01 21:58:34,13.7942,-88.8965,32,1,0,31,El Salvador
,,,Equatorial Guinea,2020-04-01 21:58:34,1.6508,10.2679,15,0,1,14,Equatorial Guinea
,,,Eritrea,2020-04-01 21:58:34,15.1794,39.7823,15,0,0,15,Eritrea
,,,Estonia,2020-04-01 21:58:34,58.5953,25.0136,779,5,33,741,Estonia
,,,Eswatini,2020-04-01 21:58:34,-26.5225,31.4659,9,0,0,9,Eswatini
,,,Ethiopia,2020-04-01 21:58:34,9.145,40.4897,29,0,2,27,Ethiopia
,,,Fiji,2020-04-01 21:58:34,-17.7134,178.065,5,0,0,5,Fiji
,,,Finland,2020-04-01 21:58:34,61.92411,25.748151,1446,17,10,1419,Finland
,,,France,2020-04-01 21:58:34,46.2276,2.2137,56989,4032,10934,42023,France
,,,Gabon,2020-04-01 21:58:34,-0.8037,11.6094,18,1,0,17,Gabon
,,,Gambia,2020-04-01 21:58:34,13.4432,-15.3101,4,1,2,1,Gambia
,,,Georgia,2020-04-01 21:58:34,42.3154,43.3569,117,0,23,94,Georgia
,,,Germany,2020-04-01 21:58:34,51.165690999999995,10.451526,77872,920,18700,58252,Germany
,,,Ghana,2020-04-01 21:58:34,7.9465,-1.0232,195,5,31,159,Ghana
,,,Greece,2020-04-01 21:58:34,39.0742,21.8243,1415,50,52,1313,Greece
,,,Grenada,2020-04-01 21:58:34,12.1165,-61.678999999999995,9,0,0,9,Grenada
,,,Guatemala,2020-04-01 21:58:34,15.7835,-90.2308,39,1,12,26,Guatemala
,,,Guinea,2020-04-01 21:58:34,9.9456,-9.6966,30,0,0,30,Guinea
,,,Guinea-Bissau,2020-04-01 21:58:34,11.8037,-15.1804,9,0,0,9,Guinea-Bissau
,,,Guyana,2020-04-01 21:58:34,4.860416000000002,-58.93018000000001,19,2,0,17,Guyana
,,,Haiti,2020-04-01 21:58:34,18.9712,-72.2852,16,0,1,15,Haiti
,,,Holy See,2020-04-01 21:58:34,41.9029,12.4534,6,0,0,6,Holy See
,,,Honduras,2020-04-01 21:58:34,15.2,-86.2419,172,10,3,159,Honduras
,,,Hungary,2020-04-01 21:58:34,47.1625,19.5033,525,20,40,465,Hungary
,,,Iceland,2020-04-01 21:58:34,64.9631,-19.0208,1220,2,225,993,Iceland
,,,India,2020-04-01 21:58:34,20.593684,78.96288,1998,58,148,1792,India
,,,Indonesia,2020-04-01 21:58:34,-0.7893,113.9213,1677,157,103,1417,Indonesia
,,,Iran,2020-04-01 21:58:34,32.427908,53.68804599999999,47593,3036,15473,29084,Iran
,,,Iraq,2020-04-01 21:58:34,33.223191,43.679291,728,52,182,494,Iraq
,,,Ireland,2020-04-01 21:58:34,53.1424,-7.6921,3447,85,5,3357,Ireland
,,,Israel,2020-04-01 21:58:34,31.046051000000002,34.851612,6092,26,241,5825,Israel
,,,Italy,2020-04-01 21:58:34,41.87194,12.56738,110574,13155,16847,80572,Italy
,,,Jamaica,2020-04-01 21:58:34,18.1096,-77.2975,44,3,2,39,Jamaica
,,,Japan,2020-04-01 21:58:34,36.204824,138.252924,2178,57,472,1649,Japan
,,,Jordan,2020-04-01 21:58:34,31.24,36.51,278,5,36,237,Jordan
